t_seed,R0,log_intercept,poisson_deviance,peak,peak_day,implied_ar
5,6.349380151888295,-0.6559359235580221,553.5539672446067,170.1833227670015,7,0.9982324436234872
7,4.8161823338333285,-0.6329839181319634,655.0102079859853,161.50917486191207,7,0.9915666903206415
9,3.9175242847368805,-0.595195258552778,754.3931903327816,153.55101979617078,7,0.9783490551274288
11,3.332136665022865,-0.5439678607288629,845.8672550573278,147.10777604432403,8,0.9590633795533646
13,2.9230913497161417,-0.4814829971041924,927.4398825896684,141.90529343881752,8,0.9349777189500564
15,2.622321195726786,-0.4099010590058928,998.9829711193295,137.44466404500955,8,0.9074034383783326
