parameter,draws_used,ess_bulk,ess_tail
bhmm::flu_alpha_nb,999,2629.6677645628856,2131.770575671999
bhmm::flu_alpha_nb,1166,3091.0511100972544,2494.134668653726
bhmm::flu_alpha_nb,1333,3626.4174736870564,2814.090020089309
bhmm::flu_alpha_nb,1500,4245.817937097125,3315.516713196595
bhmm::flu_alpha_nb,1666,4638.43233376111,3635.8230914157366
bhmm::flu_alpha_nb,1833,5101.891226858542,4015.8436794231316
bhmm::flu_alpha_nb,2000,5612.488735812737,4488.183787573009
bhmm::class_re_sd,166,288.36721300376314,403.7530871486773
bhmm::class_re_sd,333,510.0608939848302,687.6965893757521
bhmm::class_re_sd,500,715.5788038626661,1016.0799702847114
bhmm::class_re_sd,666,1003.6454208186987,1392.644456846565
bhmm::class_re_sd,833,1298.762067625425,1819.8499242395494
bhmm::class_re_sd,999,1472.057639222386,1980.3124201884732
bhmm::class_re_sd,1166,1784.4470898982113,2389.331494698707
bhmm::class_re_sd,1333,1948.5938327729914,2594.132026079067
bhmm::class_re_sd,1500,2198.693179515202,2927.6719758835593
bhmm::class_re_sd,1666,2435.1257831642874,3213.9068804054064
bhmm::class_re_sd,1833,2704.968635633815,3594.368319456226
bhmm::class_re_sd,2000,2976.5986325643767,3892.694509971044
bhmm::hyper_log_R0_mu,166,126.29378790160348,166.65536929540093
bhmm::hyper_log_R0_mu,333,276.40470057059616,318.2116438702202
bhmm::hyper_log_R0_mu,500,456.70875406160667,546.4048816094472
bhmm::hyper_log_R0_mu,666,569.9581375209891,442.52249400115176
bhmm::hyper_log_R0_mu,833,754.6399460383005,823.2721757997897
bhmm::hyper_log_R0_mu,999,854.9713812712652,949.891191370746
bhmm::hyper_log_R0_mu,1166,1009.5645031415723,1227.8951131571923
bhmm::hyper_log_R0_mu,1333,1053.2638556284217,1559.8572616859258
bhmm::hyper_log_R0_mu,1500,1242.697524015139,1831.49816234658
bhmm::hyper_log_R0_mu,1666,1401.3491117202989,2100.311454753796
bhmm::hyper_log_R0_mu,1833,1582.078638084477,2423.7574033063747
bhmm::hyper_log_R0_mu,2000,1607.525360722039,2615.12811556907
bhmm::hyper_log_R0_sd,166,293.9081045982154,334.62590063331555
bhmm::hyper_log_R0_sd,333,568.5666874217648,672.5157492194223
bhmm::hyper_log_R0_sd,500,757.9879333559142,961.1641463494273
bhmm::hyper_log_R0_sd,666,1045.8127635801457,1238.99307535971
bhmm::hyper_log_R0_sd,833,1350.3454117783938,1567.7720356322177
bhmm::hyper_log_R0_sd,999,1557.2085840178815,1926.4659416145616
bhmm::hyper_log_R0_sd,1166,1900.6932184905215,2176.094104046386
bhmm::hyper_log_R0_sd,1333,2235.4238274199197,2554.5788915213134
bhmm::hyper_log_R0_sd,1500,2518.214216411261,2801.753334853382
bhmm::hyper_log_R0_sd,1666,2872.7663508189785,3101.327483520974
bhmm::hyper_log_R0_sd,1833,3197.9764703717874,3450.906475963577
bhmm::hyper_log_R0_sd,2000,3515.1766445965113,3767.5985950752647
