scenario,R0_median,delta_R0,AR_median
beta +1 SD,3.3694528693902805,0.320645834857324,0.9607227598191226
beta -1 SD,2.7586746852166715,-0.29013234931628507,0.9212451758736707
gamma +1 SD,2.929261600792578,-0.11954543374037874,0.9354390617539323
gamma -1 SD,3.1732312099754463,0.12442417544248974,0.9511047645235846
beta SD wide,3.044101158307435,-0.004705876225521433,0.943404003640377
beta SD narrow,3.054668338883633,0.005861304350676555,0.9440812207593487
Low R0 (R0~1.5),1.5183782069215512,-1.5304288276114053,0.594551989807399
High R0 (R0~5),4.9889569655993835,1.940149931066427,0.9929431071279556
