quantity,mean,sd,q025,q250,q500,q750,q975
R0,3.0541406108583646,0.3240473336146171,2.463591243726173,2.825764260473107,3.0332751170987517,3.2655947894489734,3.749928875063569
peak_prevalence,0.09550126721109983,0.04470188771327899,0.030167055282129596,0.06136198537878027,0.08829964842306187,0.12307085212089434,0.19910738782356704
peak_day,35.0,0.0,35.0,35.0,35.0,35.0,35.0
final_dead_fraction,0.09586966267412907,0.062084871333107174,0.010908206834279385,0.04959807489664035,0.08356300473526254,0.13071423157448936,0.24839402055090362
